BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O3                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O                                                               
cross_section_Baohong_phelps.txt
--------------------------------------------------
N                                                               
cross_section_Baohong_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
A23    Mole fraction O3                           0.000    
A24    Mole fraction O                            0.000    
A25    Mole fraction N                            0.000    
          R#      A1         A16         A17    
           1  0.1000E-01   0.000       200.0    
           2  0.1100E-01   3.000      0.6211    
           3  0.1401E-01   3.000      0.6211    
           4  0.1902E-01   3.000      0.6211    
           5  0.2603E-01   3.000      0.6211    
           6  0.3505E-01   3.000      0.6211    
           7  0.4607E-01   3.000      0.7398    
           8  0.5910E-01   3.000      0.7398    
           9  0.7413E-01   3.000      0.7398    
          10  0.9116E-01   3.000      0.7398    
          11  0.1102       3.000      0.7398    
          12  0.1312       3.000      0.8811    
          13  0.1543       3.000      0.8811    
          14  0.1793       3.000      0.8811    
          15  0.2064       3.000      0.8811    
          16  0.2354       3.000       1.049    
          17  0.2665       3.000       1.049    
          18  0.2996       3.000       1.049    
          19  0.3346       3.000       1.049    
          20  0.3717       3.000       1.250    
          21  0.4108       3.000       1.250    
          22  0.4519       3.000       1.250    
          23  0.4950       3.000       1.488    
          24  0.5401       3.000       1.488    
          25  0.5871       3.000       1.488    
          26  0.6362       3.000       1.773    
          27  0.6873       3.000       1.773    
          28  0.7405       3.000       1.773    
          29  0.7956       3.000       1.773    
          30  0.8527       3.000       1.773    
          31  0.9118       3.000       1.773    
          32  0.9729       3.000       1.773    
          33   1.036       3.000       2.111    
          34   1.101       3.000       2.111    
          35   1.168       3.000       2.111    
          36   1.237       3.000       2.111    
          37   1.309       3.000       2.111    
          38   1.382       3.000       2.111    
          39   1.457       3.000       2.111    
          40   1.534       3.000       2.111    
          41   1.613       3.000       2.111    
          42   1.694       3.000       2.111    
          43   1.778       3.000       2.111    
          44   1.863       3.000       2.111    
          45   1.950       3.000       2.111    
          46   2.039       3.000       2.111    
          47   2.130       3.000       2.111    
          48   2.223       3.000       2.111    
          49   2.319       3.000       2.515    
          50   2.416       3.000       2.515    
          51   2.515       3.000       2.515    
          52   2.616       3.000       2.515    
          53   2.719       3.000       2.515    
          54   2.825       3.000       2.515    
          55   2.932       3.000       2.515    
          56   3.041       3.000       2.515    
          57   3.152       3.000       2.515    
          58   3.265       3.000       2.515    
          59   3.381       3.000       2.515    
          60   3.498       3.000       2.515    
          61   3.617       3.000       2.515    
          62   3.738       3.000       2.515    
          63   3.862       3.000       2.515    
          64   3.987       3.000       2.515    
          65   4.114       3.000       2.515    
          66   4.243       3.000       2.515    
          67   4.375       3.000       2.515    
          68   4.508       3.000       2.515    
          69   4.643       3.000       2.515    
          70   4.780       3.000       2.515    
          71   4.920       3.000       2.515    
          72   5.061       3.000       2.515    
          73   5.204       3.000       2.515    
          74   5.350       3.000       2.515    
          75   5.497       3.000       2.515    
          76   5.646       3.000       2.515    
          77   5.798       3.000       2.515    
          78   5.951       3.000       2.515    
          79   6.106       3.000       2.515    
          80   6.263       3.000       2.515    
          81   6.423       3.000       2.515    
          82   6.584       3.000       2.515    
          83   6.747       3.000       2.515    
          84   6.913       3.000       2.995    
          85   7.080       3.000       2.995    
          86   7.249       3.000       2.995    
          87   7.421       3.000       2.995    
          88   7.594       3.000       2.995    
          89   7.769       3.000       2.995    
          90   7.947       3.000       2.995    
          91   8.126       3.000       2.995    
          92   8.308       3.000       2.995    
          93   8.491       3.000       2.995    
          94   8.676       3.000       2.995    
          95   8.864       3.000       2.995    
          96   9.053       3.000       2.995    
          97   9.244       3.000       2.995    
          98   9.438       3.000       2.995    
          99   9.633       3.000       2.995    
         100   9.831       3.000       2.995    
         101   10.03       3.000       2.995    
         102   10.23       3.000       2.995    
         103   10.43       3.000       2.995    
         104   10.64       3.000       2.995    
         105   10.85       3.000       3.567    
         106   11.06       3.000       3.567    
         107   11.27       3.000       3.567    
         108   11.48       3.000       3.567    
         109   11.70       3.000       3.567    
         110   11.91       3.000       3.567    
         111   12.13       3.000       3.567    
         112   12.36       3.000       3.567    
         113   12.58       3.000       4.248    
         114   12.80       3.000       4.248    
         115   13.03       3.000       5.060    
