BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O3                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O                                                               
cross_section_Baohong_phelps.txt
--------------------------------------------------
N                                                               
cross_section_Baohong_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
A23    Mole fraction O3                           0.000    
A24    Mole fraction O                            0.000    
A25    Mole fraction N                            0.000    
          R#      A1         A16         A17    
           1  0.1000       0.000       200.0    
           2  0.1009       3.000      0.8811    
           3  0.1019       3.000      0.8811    
           4  0.1028       3.000      0.8811    
           5  0.1038       3.000      0.8811    
           6  0.1047       3.000      0.8811    
           7  0.1057       3.000      0.8811    
           8  0.1067       3.000      0.8811    
           9  0.1077       3.000      0.8811    
          10  0.1087       3.000      0.8811    
          11  0.1097       3.000      0.8811    
          12  0.1107       3.000      0.8811    
          13  0.1117       3.000      0.8811    
          14  0.1127       3.000      0.8811    
          15  0.1138       3.000      0.8811    
          16  0.1148       3.000      0.8811    
          17  0.1159       3.000      0.8811    
          18  0.1170       3.000      0.8811    
          19  0.1181       3.000      0.8811    
          20  0.1191       3.000      0.8811    
          21  0.1202       3.000      0.8811    
          22  0.1214       3.000      0.8811    
          23  0.1225       3.000      0.8811    
          24  0.1236       3.000      0.8811    
          25  0.1248       3.000      0.8811    
          26  0.1259       3.000      0.8811    
          27  0.1271       3.000      0.8811    
          28  0.1283       3.000      0.8811    
          29  0.1295       3.000      0.8811    
          30  0.1307       3.000      0.8811    
          31  0.1319       3.000      0.8811    
          32  0.1331       3.000      0.8811    
          33  0.1343       3.000      0.8811    
          34  0.1356       3.000      0.8811    
          35  0.1368       3.000      0.8811    
          36  0.1381       3.000      0.8811    
          37  0.1394       3.000      0.8811    
          38  0.1407       3.000      0.8811    
          39  0.1420       3.000      0.8811    
          40  0.1433       3.000      0.8811    
          41  0.1446       3.000      0.8811    
          42  0.1459       3.000      0.8811    
          43  0.1473       3.000      0.8811    
          44  0.1487       3.000      0.8811    
          45  0.1500       3.000      0.8811    
          46  0.1514       3.000      0.8811    
          47  0.1528       3.000      0.8811    
          48  0.1542       3.000      0.8811    
          49  0.1557       3.000      0.8811    
          50  0.1571       3.000      0.8811    
          51  0.1586       3.000      0.8811    
          52  0.1600       3.000      0.8811    
          53  0.1615       3.000      0.8811    
          54  0.1630       3.000      0.8811    
          55  0.1645       3.000      0.8811    
          56  0.1660       3.000      0.8811    
          57  0.1676       3.000      0.8811    
          58  0.1691       3.000      0.8811    
          59  0.1707       3.000      0.8811    
          60  0.1723       3.000      0.8811    
          61  0.1739       3.000      0.8811    
          62  0.1755       3.000      0.8811    
          63  0.1771       3.000      0.8811    
          64  0.1788       3.000      0.8811    
          65  0.1804       3.000      0.8811    
          66  0.1821       3.000      0.8811    
          67  0.1838       3.000      0.8811    
          68  0.1855       3.000      0.8811    
          69  0.1872       3.000      0.8811    
          70  0.1889       3.000      0.8811    
          71  0.1907       3.000      0.8811    
          72  0.1924       3.000      0.8811    
          73  0.1942       3.000       1.049    
          74  0.1960       3.000       1.049    
          75  0.1978       3.000       1.049    
          76  0.1997       3.000       1.049    
          77  0.2015       3.000       1.049    
          78  0.2034       3.000       1.049    
          79  0.2053       3.000       1.049    
          80  0.2072       3.000       1.049    
          81  0.2091       3.000       1.049    
          82  0.2110       3.000       1.049    
          83  0.2130       3.000       1.049    
          84  0.2149       3.000       1.049    
          85  0.2169       3.000       1.049    
          86  0.2189       3.000       1.049    
          87  0.2210       3.000       1.049    
          88  0.2230       3.000       1.049    
          89  0.2251       3.000       1.049    
          90  0.2272       3.000       1.049    
          91  0.2293       3.000       1.049    
          92  0.2314       3.000       1.049    
          93  0.2335       3.000       1.049    
          94  0.2357       3.000       1.049    
          95  0.2379       3.000       1.049    
          96  0.2401       3.000       1.049    
          97  0.2423       3.000       1.049    
          98  0.2446       3.000       1.049    
          99  0.2468       3.000       1.049    
         100  0.2491       3.000       1.049    
         101  0.2514       3.000       1.049    
         102  0.2537       3.000       1.049    
         103  0.2561       3.000       1.049    
         104  0.2585       3.000       1.049    
         105  0.2609       3.000       1.049    
         106  0.2633       3.000       1.049    
         107  0.2657       3.000       1.049    
         108  0.2682       3.000       1.049    
         109  0.2707       3.000       1.049    
         110  0.2732       3.000       1.049    
         111  0.2757       3.000       1.049    
         112  0.2783       3.000       1.049    
         113  0.2808       3.000       1.049    
         114  0.2834       3.000       1.049    
         115  0.2861       3.000       1.049    
         116  0.2887       3.000       1.049    
         117  0.2914       3.000       1.049    
         118  0.2941       3.000       1.049    
